"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6658","REF-8000","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_8000","",""
"","239","REF-7960","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7960","",""
"","3596","REF-7939","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7939","",""
"","76544","REF-8004","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_8004","",""
"","40502","REF-7861","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7861","",""
"","122065","REF-7994","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_7994","",""
"","19022","REF-7964","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_7964","",""
"","13565","REF-7983","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7983","",""
"","3725","REF-7847","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7847","",""
"","2573","REF-8011","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_8011","",""
"","126961","REF-7993","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7993","",""
"","4580","REF-7955","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7955","",""
"","15189","REF-7985","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7985","",""
"","143766","REF-7981","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7981","",""
"","15648","REF-8003","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_8003","",""
"","32491","REF-7989","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7989","",""
"","12077","REF-7992","tests.app_manager.Dave","2026-02-25","broken","2026-02-25","","test_REF_7992","",""
"","226","REF-8008","tests.app_manager.Dave","2026-02-25","failed","2026-02-25","","test_REF_8008","",""
"","11813","REF-7954","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7954","",""
"","8061","REF-7959","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7959","",""
"","54765","REF-7987","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7987","",""
"","7258","REF-8013","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_8013","",""
"","3618","REF-8005","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_8005","",""
"","3613","REF-7936","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7936","",""
"","7034","REF-7848","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7848","",""
"","70237","REF-7853","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7853","",""
"","3581","REF-7941","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7941","",""
"","117166","REF-7976","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7976","",""
"","57791","REF-7999","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_7999","",""
"","2654","REF-7963","tests.app_manager.Dave.check_availability","2026-02-25","passed","2026-02-25","","test_REF_7963","",""
"","8997","REF-7984","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7984","",""
"","92419","REF-7988","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7988","",""
"","4596","REF-7969","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7969","",""
"","105568","REF-7857","tests.app_manager.Dave","2026-02-25","passed","2026-02-25","","test_REF_7857","",""
