"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122028","REF-7994","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_7994","",""
"","2673","REF-7963","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_7963","",""
"","3653","REF-7847","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7847","",""
"","13531","REF-7983","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7983","",""
"","3572","REF-7941","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7941","",""
"","51919","REF-7987","tests.app_manager.Dave","2026-02-24","failed","2026-02-24","","test_REF_7987","",""
"","7259","REF-8013","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_8013","",""
"","57524","REF-7999","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_7999","",""
"","15904","REF-8003","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_8003","",""
"","168","REF-8008","tests.app_manager.Dave","2026-02-24","failed","2026-02-24","","test_REF_8008","",""
"","4578","REF-7969","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7969","",""
"","103086","REF-7857","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7857","",""
"","6666","REF-8000","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_8000","",""
"","122819","REF-7993","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7993","",""
"","50477","REF-7853","tests.app_manager.Dave","2026-02-24","broken","2026-02-24","","test_REF_7853","",""
"","112958","REF-7976","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7976","",""
"","3616","REF-8005","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_8005","",""
"","213","REF-7960","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7960","",""
"","19031","REF-7964","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_7964","",""
"","11778","REF-7954","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7954","",""
"","29502","REF-7989","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7989","",""
"","9008","REF-7984","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7984","",""
"","92345","REF-7988","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7988","",""
"","15314","REF-7985","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7985","",""
"","40220","REF-7861","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7861","",""
"","7012","REF-7848","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7848","",""
"","8081","REF-7959","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7959","",""
"","77027","REF-8004","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_8004","",""
"","3573","REF-7939","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7939","",""
"","3598","REF-7936","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7936","",""
"","140034","REF-7981","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7981","",""
"","2593","REF-8011","tests.app_manager.Dave.check_availability","2026-02-24","passed","2026-02-24","","test_REF_8011","",""
"","30153","REF-7992","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7992","",""
"","4578","REF-7955","tests.app_manager.Dave","2026-02-24","passed","2026-02-24","","test_REF_7955","",""
